api-ms-onecoreuap-print-render-l1-1-0.dll,printrenderapihost.dll
api-ms-win-appmodel-identity-l1-2-0.dll,kernel.appcore.dll
api-ms-win-appmodel-runtime-internal-l1-1-7.dll,kernel.appcore.dll
api-ms-win-appmodel-runtime-l1-1-3.dll,kernel.appcore.dll
api-ms-win-appmodel-state-l1-1-2.dll,kernel.appcore.dll
api-ms-win-appmodel-state-l1-2-0.dll,kernel.appcore.dll
api-ms-win-appmodel-unlock-l1-1-0.dll,kernel.appcore.dll
api-ms-win-base-bootconfig-l1-1-0.dll,advapi32.dll
api-ms-win-base-util-l1-1-0.dll,advapi32.dll
api-ms-win-composition-redirection-l1-1-0.dll,dwmredir.dll
api-ms-win-composition-windowmanager-l1-1-0.dll,udwm.dll
api-ms-win-containers-cmclient-l1-1-1.dll,cmclient.dll
api-ms-win-containers-cmclient-l1-2-0.dll,cmclient.dll
api-ms-win-containers-cmdiagclient-l1-1-0.dll,cmclient.dll
api-ms-win-containers-cmservicingclient-l1-1-0.dll,cmclient.dll
api-ms-win-core-apiquery-l1-1-1.dll,ntdll.dll
api-ms-win-core-apiquery-l2-1-0.dll,kernelbase.dll
api-ms-win-core-appcompat-l1-1-1.dll,kernelbase.dll
api-ms-win-core-appinit-l1-1-0.dll,kernel32.dll,kernelbase.dll[kernel32.dll]
api-ms-win-core-atoms-l1-1-0.dll,kernel32.dll
api-ms-win-core-backgroundtask-l1-1-0.dll,kernelbase.dll
api-ms-win-core-bicltapi-l1-1-5.dll,bi.dll
api-ms-win-core-biplmapi-l1-1-5.dll,twinapi.appcore.dll
api-ms-win-core-biptcltapi-l1-1-7.dll,twinapi.appcore.dll
api-ms-win-core-calendar-l1-1-0.dll,kernel32.dll
api-ms-win-core-com-l1-1-3.dll,combase.dll
api-ms-win-core-com-l2-1-1.dll,coml2.dll
api-ms-win-core-com-midlproxystub-l1-1-0.dll,combase.dll
api-ms-win-core-com-private-l1-1-1.dll,combase.dll
api-ms-win-core-com-private-l1-2-0.dll,combase.dll
api-ms-win-core-com-private-l1-3-0.dll,combase.dll
api-ms-win-core-comm-l1-1-2.dll,kernelbase.dll
api-ms-win-core-console-ansi-l2-1-0.dll,kernel32.dll
api-ms-win-core-console-internal-l1-1-0.dll,kernelbase.dll
api-ms-win-core-console-l1-1-0.dll,kernelbase.dll
api-ms-win-core-console-l1-2-1.dll,kernelbase.dll
api-ms-win-core-console-l2-1-0.dll,kernelbase.dll
api-ms-win-core-console-l2-2-0.dll,kernelbase.dll
api-ms-win-core-console-l3-1-0.dll,kernelbase.dll
api-ms-win-core-console-l3-2-0.dll,kernelbase.dll
api-ms-win-core-crt-l1-1-0.dll,ntdll.dll
api-ms-win-core-crt-l2-1-0.dll,kernelbase.dll
api-ms-win-core-datetime-l1-1-2.dll,kernelbase.dll
api-ms-win-core-debug-l1-1-2.dll,kernelbase.dll
api-ms-win-core-debug-minidump-l1-1-0.dll,dbgcore.dll
api-ms-win-core-delayload-l1-1-1.dll,kernelbase.dll
api-ms-win-core-enclave-l1-1-1.dll,kernelbase.dll
api-ms-win-core-errorhandling-l1-1-3.dll,kernelbase.dll
api-ms-win-core-featurestaging-l1-1-1.dll,shcore.dll
api-ms-win-core-fibers-l1-1-1.dll,kernelbase.dll
api-ms-win-core-fibers-l2-1-1.dll,kernelbase.dll
api-ms-win-core-file-ansi-l1-1-0.dll,kernel32.dll
api-ms-win-core-file-ansi-l2-1-0.dll,kernel32.dll
api-ms-win-core-file-fromapp-l1-1-0.dll,windows.storage.onecore.dll
api-ms-win-core-file-l1-1-1.dll,kernelbase.dll
api-ms-win-core-file-l1-2-3.dll,kernelbase.dll
api-ms-win-core-file-l2-1-3.dll,kernelbase.dll
api-ms-win-core-firmware-l1-1-0.dll,kernel32.dll
api-ms-win-core-guard-l1-1-0.dll,kernelbase.dll
api-ms-win-core-handle-l1-1-0.dll,kernelbase.dll
api-ms-win-core-heap-l1-1-0.dll,kernelbase.dll
api-ms-win-core-heap-l1-2-0.dll,kernelbase.dll
api-ms-win-core-heap-l2-1-0.dll,kernelbase.dll
api-ms-win-core-heap-obsolete-l1-1-0.dll,kernel32.dll
api-ms-win-core-interlocked-l1-1-1.dll,kernelbase.dll
api-ms-win-core-interlocked-l1-2-0.dll,kernelbase.dll
api-ms-win-core-io-l1-1-1.dll,kernel32.dll,kernelbase.dll[kernel32.dll]
api-ms-win-core-job-l1-1-0.dll,kernelbase.dll
api-ms-win-core-job-l2-1-1.dll,kernel32.dll
api-ms-win-core-kernel32-legacy-ansi-l1-1-0.dll,kernel32.dll
api-ms-win-core-kernel32-legacy-l1-1-6.dll,kernel32.dll
api-ms-win-core-kernel32-private-l1-1-2.dll,kernel32.dll
api-ms-win-core-largeinteger-l1-1-0.dll,kernelbase.dll
api-ms-win-core-libraryloader-l1-1-1.dll,kernelbase.dll
api-ms-win-core-libraryloader-l1-2-2.dll,kernelbase.dll
api-ms-win-core-libraryloader-l2-1-0.dll,kernelbase.dll
api-ms-win-core-libraryloader-private-l1-1-0.dll,kernelbase.dll
api-ms-win-core-localization-ansi-l1-1-0.dll,kernel32.dll
api-ms-win-core-localization-l1-1-0.dll,kernelbase.dll
api-ms-win-core-localization-l1-2-4.dll,kernelbase.dll
api-ms-win-core-localization-l2-1-0.dll,kernelbase.dll
api-ms-win-core-localization-obsolete-l1-1-0.dll,kernelbase.dll
api-ms-win-core-localization-obsolete-l1-2-0.dll,kernelbase.dll
api-ms-win-core-localization-obsolete-l1-3-0.dll,kernelbase.dll
api-ms-win-core-localization-private-l1-1-0.dll,kernelbase.dll
api-ms-win-core-localregistry-l1-1-0.dll,kernelbase.dll
api-ms-win-core-marshal-l1-1-0.dll,combase.dll
api-ms-win-core-memory-l1-1-7.dll,kernelbase.dll
api-ms-win-core-misc-l1-1-0.dll,kernelbase.dll
api-ms-win-core-multipleproviderrouter-l1-1-0.dll,mpr.dll
api-ms-win-core-namedpipe-ansi-l1-1-1.dll,kernel32.dll
api-ms-win-core-namedpipe-l1-1-0.dll,kernelbase.dll
api-ms-win-core-namedpipe-l1-2-2.dll,kernelbase.dll
api-ms-win-core-namespace-ansi-l1-1-0.dll,kernel32.dll
api-ms-win-core-namespace-l1-1-0.dll,kernelbase.dll
api-ms-win-core-normalization-l1-1-0.dll,kernelbase.dll
api-ms-win-core-path-l1-1-0.dll,kernelbase.dll
api-ms-win-core-pcw-l1-1-0.dll,kernelbase.dll
api-ms-win-core-perfcounters-l1-1-0.dll,kernelbase.dll
api-ms-win-core-perfcounters-l1-2-0.dll,kernelbase.dll
api-ms-win-core-privateprofile-l1-1-1.dll,kernel32.dll
api-ms-win-core-processenvironment-ansi-l1-1-0.dll,kernel32.dll
api-ms-win-core-processenvironment-l1-1-1.dll,kernelbase.dll
api-ms-win-core-processenvironment-l1-2-0.dll,kernelbase.dll
api-ms-win-core-processsecurity-l1-1-0.dll,kernel32.dll,kernelbase.dll[kernel32.dll]
api-ms-win-core-processsnapshot-l1-1-0.dll,kernelbase.dll
api-ms-win-core-processthreads-l1-1-4.dll,kernel32.dll,kernelbase.dll[kernel32.dll]
api-ms-win-core-processtopology-l1-1-0.dll,kernelbase.dll
